CEPH;Cephalon, Inc.;Stock;Yahoo;CEPH;NewYork
CHKP;Check Point Software Technologi;Stock;Yahoo;CHKP;NewYork
CHRW;C.H. Robinson Worldwide, Inc.;Stock;Yahoo;CHRW;NewYork
CMCSA;Comcast Corporation;Stock;Yahoo;CMCSA;NewYork
COST;Costco Wholesale Corporation;Stock;Yahoo;COST;NewYork
CSCO;Cisco Systems, Inc.;Stock;Yahoo;CSCO;NewYork
CTAS;Cintas Corporation;Stock;Yahoo;CTAS;NewYork
CTSH;Cognizant Technology Solutions;Stock;Yahoo;CTSH;NewYork
CTXS;Citrix Systems, Inc.;Stock;Yahoo;CTXS;NewYork
DELL;Dell Inc.;Stock;Yahoo;DELL;NewYork
DISH;DISH Network Corporation;Stock;Yahoo;DISH;NewYork
EBAY;eBay Inc.;Stock;Yahoo;EBAY;NewYork
ERTS;Electronic Arts Inc.;Stock;Yahoo;ERTS;NewYork
ESRX;Express Scripts, Inc.;Stock;Yahoo;ESRX;NewYork
EXPD;Expeditors International of Was;Stock;Yahoo;EXPD;NewYork
EXPE;Expedia, Inc.;Stock;Yahoo;EXPE;NewYork
FAST;Fastenal Company;Stock;Yahoo;FAST;NewYork
FISV;Fiserv, Inc.;Stock;Yahoo;FISV;NewYork
FLEX;Flextronics International Ltd.;Stock;Yahoo;FLEX;NewYork
FLIR;FLIR Systems, Inc.;Stock;Yahoo;FLIR;NewYork
FSLR;First Solar, Inc.;Stock;Yahoo;FSLR;NewYork
FWLT;Foster Wheeler AG.;Stock;Yahoo;FWLT;NewYork
GENZ;Genzyme Corporation;Stock;Yahoo;GENZ;NewYork
GILD;Gilead Sciences, Inc.;Stock;Yahoo;GILD;NewYork
GOOG;Google Inc.;Stock;Yahoo;GOOG;NewYork
HANS;Hansen Natural Corporation;Stock;Yahoo;HANS;NewYork
HOLX;Hologic, Inc.;Stock;Yahoo;HOLX;NewYork
HSIC;Henry Schein, Inc.;Stock;Yahoo;HSIC;NewYork
IACI;IAC/InterActiveCorp;Stock;Yahoo;IACI;NewYork
ILMN;Illumina, Inc.;Stock;Yahoo;ILMN;NewYork
INFY;Infosys Technologies Limited;Stock;Yahoo;INFY;NewYork
INTC;Intel Corporation;Stock;Yahoo;INTC;NewYork
INTU;Intuit Inc.;Stock;Yahoo;INTU;NewYork
ISRG;Intuitive Surgical, Inc.;Stock;Yahoo;ISRG;NewYork
JBHT;J.B. Hunt Transport Services, I;Stock;Yahoo;JBHT;NewYork
JNPR;Juniper Networks, Inc. Common S;Stock;Yahoo;JNPR;NewYork
JOYG;Joy Global Inc.;Stock;Yahoo;JOYG;NewYork
KLAC;KLA-Tencor Corporation;Stock;Yahoo;KLAC;NewYork
LBTYA;Liberty Global, Inc.;Stock;Yahoo;LBTYA;NewYork
LIFE;Life Technologies Corporation;Stock;Yahoo;LIFE;NewYork
LINTA;Liberty Media Corporation;Stock;Yahoo;LINTA;NewYork
LLTC;Linear Technology Corporation;Stock;Yahoo;LLTC;NewYork
LOGI;Logitech International S.A.;Stock;Yahoo;LOGI;NewYork
LRCX;Lam Research Corporation;Stock;Yahoo;LRCX;NewYork
MCHP;Microchip Technology Incorporat;Stock;Yahoo;MCHP;NewYork
MICC;Millicom International Cellular;Stock;Yahoo;MICC;NewYork
MRVL;Marvell Technology Group, Ltd.;Stock;Yahoo;MRVL;NewYork
MSFT;Microsoft Corporation;Stock;Yahoo;MSFT;NewYork
MXIM;Maxim Integrated Products, Inc.;Stock;Yahoo;MXIM;NewYork
NIHD;NII Holdings, Inc.;Stock;Yahoo;NIHD;NewYork
NTAP;NetApp, Inc.;Stock;Yahoo;NTAP;NewYork
NVDA;NVIDIA Corporation;Stock;Yahoo;NVDA;NewYork
NWSA;News Corporation;Stock;Yahoo;NWSA;NewYork
ORCL;Oracle Corporation;Stock;Yahoo;ORCL;NewYork
ORLY;O'Reilly Automotive, Inc.;Stock;Yahoo;ORLY;NewYork
PAYX;Paychex, Inc.;Stock;Yahoo;PAYX;NewYork
PCAR;PACCAR Inc.;Stock;Yahoo;PCAR;NewYork
PDCO;Patterson Companies Inc.;Stock;Yahoo;PDCO;NewYork
PPDI;Pharmaceutical Product Developm;Stock;Yahoo;PPDI;NewYork
QCOM;QUALCOMM Incorporated;Stock;Yahoo;QCOM;NewYork
RIMM;Research In Motion Limited;Stock;Yahoo;RIMM;NewYork
ROST;Ross Stores, Inc.;Stock;Yahoo;ROST;NewYork
RYAAY;Ryanair Holdings plc;Stock;Yahoo;RYAAY;NewYork
SBUX;Starbucks Corporation;Stock;Yahoo;SBUX;NewYork
SHLD;Sears Holdings Corporation;Stock;Yahoo;SHLD;NewYork
SIAL;Sigma-Aldrich Corporation;Stock;Yahoo;SIAL;NewYork
SPLS;Staples, Inc.;Stock;Yahoo;SPLS;NewYork
SRCL;Stericycle, Inc.;Stock;Yahoo;SRCL;NewYork
STLD;Steel Dynamics, Inc.;Stock;Yahoo;STLD;NewYork
SYMC;Symantec Corporation;Stock;Yahoo;SYMC;NewYork
TEVA;Teva Pharmaceutical Industries;Stock;Yahoo;TEVA;NewYork
URBN;Urban Outfitters, Inc.;Stock;Yahoo;URBN;NewYork
VRSN;VeriSign, Inc.;Stock;Yahoo;VRSN;NewYork
VRTX;Vertex Pharmaceuticals Incorpor;Stock;Yahoo;VRTX;NewYork
WYNN;Wynn Resorts, Limited;Stock;Yahoo;WYNN;NewYork
XLNX;Xilinx, Inc.;Stock;Yahoo;XLNX;NewYork
XRAY;DENTSPLY International Inc.;Stock;Yahoo;XRAY;NewYork
YHOO;Yahoo! Inc.;Stock;Yahoo;YHOO;NewYork
